dataset,Qwen3-VL-Embedding-2B (paper),Qwen3-VL-Embedding-8B (paper),VLM2Vec-Qwen2VL-7B (paper),VLM2Vec-V2.0-2B (paper),GME-7B (paper),WAVE-7B (paper),Omni-Embed-Nemotron-3B (paper),"Omni-Embed-Nemotron-3B (reproduced, ndcg_linear@5)",diff,eval_time_s,eval_time
BRIGHT aops,2.4,1.1,2.2,1.2,5.0,5.3,3.3,3.2,-0.1,444,7m24
BRIGHT biology,14.7,17.1,9.4,12.3,3.0,2.7,13.4,13.6,0.2,56,0m56
BRIGHT earth science,26.2,28.9,0.7,11.4,12.8,3.9,26.2,26.2,0.0,133,2m13
BRIGHT economics,15.9,16.7,2.8,3.9,7.0,2.1,15.5,15.5,0.0,111,1m51
BRIGHT leetcode,13.7,17.3,4.7,8.5,17.3,12.0,18.2,18.6,0.4,1010,16m50
BRIGHT pony,2.5,9.1,9.5,1.5,2.1,0.5,2.1,2.5,0.4,12,0m12
BRIGHT psychology,18.6,12.0,3.0,4.4,11.0,2.8,18.2,18.3,0.1,108,1m48
BRIGHT robotics,11.3,12.5,1.5,4.8,5.7,0.7,12.5,12.1,-0.4,129,2m09
BRIGHT stackoverflow,14.5,12.0,0.0,2.1,6.1,0.9,9.3,9.4,0.1,279,4m39
BRIGHT sustainable living,9.7,14.2,3.6,2.6,9.7,5.1,6.3,6.8,0.5,117,1m57
BRIGHT theoremqa questions,10.6,12.8,15.1,9.4,12.8,7.7,14.1,14.1,0.0,463,7m43
BRIGHT theoremqa theorems,12.8,21.2,3.2,4.7,17.0,1.9,22.1,22.4,0.3,76,1m16
FollowIR core17-instructions,34.5,34.3,21.0,21.3,34.8,20.7,28.4,34.3,5.9,32,0m32
FollowIR news21-instructions,21.8,20.4,9.7,4.6,13.3,11.1,18.6,29.0,10.4,57,0m57
FollowIR robust04-instructions,39.5,44.0,21.1,24.7,30.6,11.0,27.7,33.4,5.7,103,1m43
InfoSearch Audience-v1,31.3,34.5,25.0,17.2,61.8,31.9,27.5,27.4,-0.1,2,0m02
InfoSearch Clarity-v1,62.8,55.4,34.5,43.6,57.9,59.2,34.6,34.6,0.0,2,0m02
InfoSearch Format-v1,38.2,46.2,10.2,20.4,47.5,7.2,52.5,52.4,-0.1,4,0m04
InfoSearch Language-v1,56.5,67.6,45.3,49.2,77.5,60.8,71.4,71.2,-0.2,1,0m01
InfoSearch Length-v1,44.2,55.9,40.0,43.9,75.4,38.0,56.9,56.7,-0.2,4,0m04
InfoSearch Source-v1,36.8,44.5,46.1,37.6,72.5,42.1,47.8,47.7,-0.1,3,0m03
LongEmbed 2wikimqa,83.8,89.0,6.0,13.7,14.7,1.9,70.4,71.1,0.7,3,0m03
LongEmbed narrativeqa,52.9,60.9,1.3,3.6,6.8,1.2,31.0,32.7,1.7,25,0m25
LongEmbed needle,15.5,21.2,3.2,7.6,21.2,5.0,24.3,24.3,0.0,12,0m12
LongEmbed passkey,32.8,38.2,12.7,11.3,26.7,1.1,34.0,35.8,1.8,10,0m10
LongEmbed qmsum,37.5,42.3,4.7,11.9,9.8,2.4,34.8,40.2,5.4,4,0m04
LongEmbed summ screen fd,95.9,96.3,7.5,20.9,27.4,3.8,90.7,96.1,5.4,3,0m03
MultiConIR Books,62.1,60.9,35.0,47.1,56.8,27.7,63.9,64.1,0.2,16,0m16
MultiConIR Legal Document,57.2,57.7,38.0,52.4,56.7,8.8,68.4,68.5,0.1,17,0m17
MultiConIR Medical Case,60.0,61.4,35.8,43.9,52.8,17.5,65.7,65.7,0.0,15,0m15
MultiConIR Movies,64.9,62.9,42.0,48.7,64.6,13.0,74.7,74.8,0.1,15,0m15
MultiConIR People,61.8,62.9,53.4,59.2,64.1,47.3,75.1,74.8,-0.3,15,0m15
NanoBEIR NanoArguAna,49.4,45.0,32.4,36.1,54.3,21.6,42.6,42.8,0.2,6,0m06
NanoBEIR NanoClimateFEVER,29.5,33.5,14.2,14.4,31.9,3.4,23.6,23.6,0.0,8,0m08
NanoBEIR NanoDBPedia,60.6,61.1,51.7,48.4,60.5,23.6,54.2,54.3,0.1,5,0m05
NanoBEIR NanoFEVER,89.2,89.8,55.9,52.3,87.1,10.5,76.2,75.4,-0.8,11,0m11
NanoBEIR NanoFiQA2018,43.7,53.2,20.1,21.0,58.8,4.8,53.6,53.6,0.0,11,0m11
NanoBEIR NanoHotpotQA,73.8,77.4,53.6,50.0,84.5,15.3,92.0,92.0,0.0,5,0m05
NanoBEIR NanoMSMARCO,53.6,64.9,28.1,38.6,65.5,19.0,53.5,53.4,-0.1,4,0m04
NanoBEIR NanoNFCorpus,39.5,39.9,31.8,29.5,39.9,11.7,31.4,32.0,0.6,6,0m06
NanoBEIR NanoNQ,56.0,66.6,34.5,28.2,65.9,12.5,64.5,63.5,-1.0,7,0m07
NanoBEIR NanoQuoraRetrieval,94.9,96.0,93.4,92.8,95.2,87.1,91.5,91.5,0.0,3,0m03
NanoBEIR NanoSCIDOCS,35.7,37.5,30.1,24.3,44.1,12.2,32.7,32.7,0.0,4,0m04
NanoBEIR NanoSciFact,77.5,78.5,61.7,58.4,73.4,14.4,74.5,74.5,0.0,6,0m06
NanoBEIR NanoTouche2020,50.1,52.0,34.2,41.6,52.0,5.6,50.3,50.3,0.0,24,0m24
R2MED Bioinformatics,35.8,42.2,15.1,19.4,33.2,2.5,36.5,37.3,0.8,64,1m04
R2MED Biology,14.7,17.2,9.3,12.3,3.2,2.7,13.7,13.9,0.2,53,0m53
R2MED IIYi-Clinical,21.3,26.3,2.3,8.5,18.5,0.1,16.5,15.6,-0.9,57,0m57
R2MED MedQA-Diag,33.6,34.4,16.4,21.8,28.9,17.8,27.4,6.7,-20.7,62,1m02
R2MED MedXpertQA-Exam,11.5,17.4,6.0,5.6,5.3,0.5,6.6,5.3,-1.3,57,0m57
R2MED Medical-Sciences,10.1,13.1,3.5,4.7,9.3,0.8,6.3,27.2,20.9,44,0m44
R2MED PMC-Clinical,21.4,37.1,13.5,14.0,32.2,1.0,21.9,21.9,0.0,126,2m06
R2MED PMC-Treatment,30.4,37.4,21.4,28.3,42.0,1.1,14.5,14.5,0.0,39,0m39
AVG (repro over 53 datasets),,,,,,,38.6,39.2,0.6,,
